# All Source Files with Semantic Descriptions
# Format: path | lines | description

internal/worker/worker.go | 256 | Core request processor. Start: loop reading from queue channel. processItem: load request from DB, skip if done, get key (requeue if none), mark processing, decrypt key, build HTTP request, execute, release key, handle result. handleSuccess: mark key healthy, persist. handleFailure: retry with backoff or permanent fail. HTTP status: 2xx=success, 429/5xx=retryable, other 4xx=permanent.

migrations/001_create_api_keys.sql | 18 | Creates api_keys table: id, name, key_encrypted, weight, is_healthy, failure_count, circuit_state, last_used_at, rate_limit_per_minute (60), rate_limit_per_day (10000), concurrent_limit (5), current_concurrent (0), created_at, updated_at.

migrations/002_create_requests.sql | 26 | Creates requests table: id, idempotency_key (UNIQUE), source, priority, method, destination_url, headers, payload, status, assigned_key_id, attempts, last_error, response_status, response_body, created_at, updated_at, completed_at. Indexes: status, idempotency_key, created_at.

migrations/003_create_key_events.sql | 12 | Creates key_events table: id, key_id, event_type, message, created_at. Index on key_id.

migrations/004_create_system_config.sql | 7 | Creates system_config table: key (PK), value, description, updated_at.

migrations/005_seed_system_config.sql | 13 | Seeds defaults: worker_count=10, queue_max_size=1000, strategy=round_robin, circuit_breaker_threshold=3, circuit_breaker_open_duration_seconds=60, retry_max_attempts=4, retry_base_delay_ms=1000, retry_max_delay_ms=30000, load_shed_level1=0.50, load_shed_level2=0.25. Uses INSERT OR IGNORE.
